Reference, Quantity, Value, Footprint
C1 C93 C94 ,3,470p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C10 ,1,3.9p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C11 ,1,5.6p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C14 C95 C96 ,3,220p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C13 C15 C16 C17 ,4,330p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C19 ,1,33p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C3 C6 ,2,0.47u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C2 C4 C5 C7 C26 C27 C28 C29 C30 C31 C32 C34 C35 C36 C37 C38 C39 C40 C41 C42 C43 C45 C49 C50 C51 C53 C54 C55 C57 C81 C88 C89 C90 C91 C92 C97 C99 C102 C104 C105 ,40,0.1u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C46 C86 ,2,0.047u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C44 C47 C82 C83 C84 ,5,10u,Capacitor_SMD:CP_Elec_4x5.4
C48 ,1,2.2u,Capacitor_SMD:CP_Elec_4x5.4
C52 ,1,220u,Capacitor_SMD:CP_Elec_8x10.5
C60 C65 C70 C75 C80 C98 ,6,270p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C18 C20 C21 C22 C23 C24 C61 C64 C100 C101 ,10,150p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C62 C63 C67 C68 C72 C73 C77 C78 C103 ,9,1-30p,My_Library:C_Trim_THD_L7.0mm_W6.5mm_P5.00mm
C66 C69 ,2,100p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C71 C74 ,2,47p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C12 C25 C76 C79 ,4,68p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C8 ,1,15p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C33 C56 C58 C59 C85 ,5,0.01u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C87 ,1,22u,Capacitor_SMD:CP_Elec_5x5.4
C9 ,1,8p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
D1 D2 D3 D6 D7 D8 D9 D10 D11 D12 D13 D15 D17 ,13,1N4148W,Diode_SMD:D_SOD-123
D14 ,1,SS14,Diode_SMD:D_SMA_Handsoldering
D16 ,1,1N4736A,Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp
D4 D5 ,2,1N34/D311 matched pair,Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp
K1 K2 K3 K4 K5 K6 K7 K8 K9 K10 K11 K12 ,12,G6K-2F-Y (or: HFD4/12-S),Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y
Q1 Q2 Q5 Q6 Q8 Q9 Q10 Q11 Q13 Q14 Q15 Q16 Q17 Q18 ,14,MMBT3904,Package_TO_SOT_SMD:SOT-23
Q12 ,1,BS170,Package_TO_SOT_THT:TO-92_Inline
Q3 ,1,MMBF170,Package_TO_SOT_SMD:SOT-23
Q4 ,1,MMBT3906,Package_TO_SOT_SMD:SOT-23
Q7 ,1,IRF510,Package_TO_SOT_THT:TO-220-3_Vertical
R1 ,1,15K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R11 ,1,220,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R14 R21 R23 ,3,1.3K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R15 R24 R26 ,3,68,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R17 R28 R29 ,3,6.2,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R2 R5 R6 R54 R66 R67 R68 R69 ,8,4.7K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R3 ,1,2.7K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R30 R31 ,2,150,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R32 ,1,36,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R33 R59 R60 R63 R64 ,5,100,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R34 R53 ,2,2.2K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R35 R40 R45 ,3,100K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R13 R20 R22 R36 ,4,3.3K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R37 ,1,47K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R10 R16 R25 R27 R38 R48 R56 R57 ,8,1K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R39 ,1,51,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R4 R9 R41 R42 R43 R44 ,6,1.8K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R12 R18 R19 R46 R49 ,5,22,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R50 ,1,10,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R51 ,1,1Meg,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R52 R61 R65 ,3,680,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R47 R55 ,2,10K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
R58 R62 ,2,300,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder
RV1 RV2 RV3 RV4 ,4,10K,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical
U1 ,1,L7805,Package_TO_SOT_THT:TO-220-3_Vertical
U10 ,1,LM386,Package_SO:SO-8_5.3x6.2mm_P1.27mm
U11 ,1,L7805,Package_TO_SOT_SMD:TO-263-2
U2 ,1,24LC64,Package_SO:SO-8_5.3x6.2mm_P1.27mm
U3 U4 ,2,ADE-6 (or: ADE-1/ADE-1L/ADE-2),RF_Mini-Circuits:Mini-Circuits_CD542_LandPatternPL-052
U5 ,1,NE5532,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm
Y1 Y2 Y3 Y4 Y5 Y6 ,6,"9 Mhz, see notes",
T1 T2 T3 T12 L9,5,FT37-43,
T4 T5 T6 T7 T8 T9 T10 T11 L3 L4 L5 L6 L7 L8 L10 L11 ,16,T37-6,
J8 J9 J11 J12 ,1,BN61-202,
L1 L2 ,2,1000u,
L12 ,1,18u,
J2 ,1,Si5351 Module,
J3 J4 ,1,Blue Pill,
